,Country_Region,Confirmed,Deaths,Recovered,Date
3969,United Kingdom,189689,6818,0,27/01/2021
4006,United Kingdom,3125,63,0,27/01/2021
4007,United Kingdom,369,16,0,27/01/2021
4013,United Kingdom,0,0,0,27/01/2021
3987,United Kingdom,3904,12,,26/01/2023
3988,United Kingdom,18766,157,,26/01/2023
3989,United Kingdom,7305,64,,26/01/2023
3990,United Kingdom,31472,37,,26/01/2023
3991,United Kingdom,0,0,,26/01/2023
3992,United Kingdom,20517193,185295,,26/01/2023
3993,United Kingdom,1930,0,,26/01/2023
3994,United Kingdom,20392,111,,26/01/2023
3995,United Kingdom,34715,66,,26/01/2023
3996,United Kingdom,38008,116,,26/01/2023
3997,United Kingdom,66259,155,,26/01/2023
3998,United Kingdom,1403,8,,26/01/2023
3999,United Kingdom,713294,5136,,26/01/2023
4000,United Kingdom,4,0,,26/01/2023
4001,United Kingdom,2166,0,,26/01/2023
4002,United Kingdom,2148273,16732,,26/01/2023
4003,United Kingdom,6522,38,,26/01/2023
4004,United Kingdom,0,336,,26/01/2023
4005,United Kingdom,895597,11462,,26/01/2023
3981,United Kingdom,2270,7,,26/01/2022
3982,United Kingdom,10262,114,,26/01/2022
3983,United Kingdom,5809,49,,26/01/2022
3984,United Kingdom,13734,15,,26/01/2022
3985,United Kingdom,0,0,,26/01/2022
3986,United Kingdom,13732435,156037,,26/01/2022
3987,United Kingdom,86,0,,26/01/2022
3988,United Kingdom,12277,100,,26/01/2022
3989,United Kingdom,21200,70,,26/01/2022
3990,United Kingdom,161,1,,26/01/2022
3991,United Kingdom,519479,4190,,26/01/2022
3992,United Kingdom,4,0,,26/01/2022
3993,United Kingdom,1131668,13023,,26/01/2022
3994,United Kingdom,5659,34,,26/01/2022
3995,United Kingdom,0,267,,26/01/2022
3996,United Kingdom,765737,9591,,26/01/2022
4008,United Kingdom,28796,96,0,26/01/2022
4009,United Kingdom,10848,30,0,26/01/2022
4015,United Kingdom,0,0,0,26/01/2022
3954,United Kingdom,16,0,15,26/01/2021
3955,United Kingdom,688,12,646,26/01/2021
3956,United Kingdom,114,1,95,26/01/2021
3957,United Kingdom,383,2,346,26/01/2021
3958,United Kingdom,0,0,3227,26/01/2021
3959,United Kingdom,3225301,108216,0,26/01/2021
3960,United Kingdom,41,0,34,26/01/2021
3961,United Kingdom,4024,69,3401,26/01/2021
3962,United Kingdom,432,25,364,26/01/2021
3963,United Kingdom,13,1,12,26/01/2021
3964,United Kingdom,101291,2462,0,26/01/2021
3965,United Kingdom,4,0,4,26/01/2021
3966,United Kingdom,174002,8349,0,26/01/2021
3967,United Kingdom,1312,8,1020,26/01/2021
3968,United Kingdom,0,137,0,26/01/2021
3969,United Kingdom,189152,6781,0,26/01/2021
4006,United Kingdom,3122,63,0,26/01/2021
4007,United Kingdom,359,16,0,26/01/2021
4013,United Kingdom,0,0,0,26/01/2021
3987,United Kingdom,3904,12,,25/01/2023
3988,United Kingdom,18766,157,,25/01/2023
3989,United Kingdom,7305,64,,25/01/2023
3990,United Kingdom,31472,37,,25/01/2023
3991,United Kingdom,0,0,,25/01/2023
3992,United Kingdom,20503511,185234,,25/01/2023
3993,United Kingdom,1930,0,,25/01/2023
3994,United Kingdom,20392,111,,25/01/2023
3995,United Kingdom,34715,66,,25/01/2023
3996,United Kingdom,38008,116,,25/01/2023
3997,United Kingdom,66259,155,,25/01/2023
3998,United Kingdom,1403,8,,25/01/2023
3999,United Kingdom,713294,5132,,25/01/2023
4000,United Kingdom,4,0,,25/01/2023
4001,United Kingdom,2166,0,,25/01/2023
4002,United Kingdom,2147103,16728,,25/01/2023
4003,United Kingdom,6522,38,,25/01/2023
4004,United Kingdom,0,336,,25/01/2023
4005,United Kingdom,895328,11461,,25/01/2023
3981,United Kingdom,2270,7,,25/01/2022
3982,United Kingdom,10262,114,,25/01/2022
3983,United Kingdom,5809,49,,25/01/2022
3984,United Kingdom,13734,15,,25/01/2022
3985,United Kingdom,0,0,,25/01/2022
3986,United Kingdom,13642522,155862,,25/01/2022
3987,United Kingdom,86,0,,25/01/2022
3988,United Kingdom,12103,100,,25/01/2022
3989,United Kingdom,21112,70,,25/01/2022
3990,United Kingdom,161,1,,25/01/2022
3991,United Kingdom,515096,4189,,25/01/2022
3992,United Kingdom,4,0,,25/01/2022
3993,United Kingdom,1127067,13011,,25/01/2022
3994,United Kingdom,5570,34,,25/01/2022
3995,United Kingdom,0,267,,25/01/2022
3996,United Kingdom,763031,9583,,25/01/2022
4008,United Kingdom,28396,96,0,25/01/2022
4009,United Kingdom,10757,30,0,25/01/2022
4015,United Kingdom,0,0,0,25/01/2022
3954,United Kingdom,15,0,15,25/01/2021
3955,United Kingdom,686,12,640,25/01/2021
3956,United Kingdom,114,1,95,25/01/2021
3957,United Kingdom,383,2,346,25/01/2021
3958,United Kingdom,0,0,3186,25/01/2021
3959,United Kingdom,3207381,107170,0,25/01/2021
3960,United Kingdom,35,0,29,25/01/2021
3961,United Kingdom,3992,65,3349,25/01/2021
3962,United Kingdom,432,25,364,25/01/2021
3963,United Kingdom,13,1,12,25/01/2021
3964,United Kingdom,100741,2446,0,25/01/2021
3965,United Kingdom,4,0,4,25/01/2021
3966,United Kingdom,172953,8295,0,25/01/2021
3967,United Kingdom,1287,7,1000,25/01/2021
3968,United Kingdom,0,136,0,25/01/2021
3969,United Kingdom,188583,6725,0,25/01/2021
4006,United Kingdom,3116,63,0,25/01/2021
4007,United Kingdom,321,16,0,25/01/2021
4013,United Kingdom,0,0,0,25/01/2021
3987,United Kingdom,3904,12,,24/01/2023
3988,United Kingdom,18751,157,,24/01/2023
3989,United Kingdom,7305,64,,24/01/2023
3990,United Kingdom,31472,37,,24/01/2023
3991,United Kingdom,0,0,,24/01/2023
3992,United Kingdom,20503511,185181,,24/01/2023
3993,United Kingdom,1930,0,,24/01/2023
3994,United Kingdom,20392,111,,24/01/2023
3995,United Kingdom,34672,66,,24/01/2023
3996,United Kingdom,38008,116,,24/01/2023
3997,United Kingdom,66259,155,,24/01/2023
3998,United Kingdom,1403,8,,24/01/2023
3999,United Kingdom,713294,5129,,24/01/2023
4000,United Kingdom,4,0,,24/01/2023
4001,United Kingdom,2166,0,,24/01/2023
4002,United Kingdom,2147103,16721,,24/01/2023
4003,United Kingdom,6522,38,,24/01/2023
4004,United Kingdom,0,336,,24/01/2023
4005,United Kingdom,895328,11458,,24/01/2023
3981,United Kingdom,2187,7,,24/01/2022
3982,United Kingdom,10262,114,,24/01/2022
3983,United Kingdom,5649,47,,24/01/2022
3984,United Kingdom,13734,15,,24/01/2022
3985,United Kingdom,0,0,,24/01/2022
3986,United Kingdom,13558510,155706,,24/01/2022
3987,United Kingdom,86,0,,24/01/2022
3988,United Kingdom,11937,100,,24/01/2022
3989,United Kingdom,20586,70,,24/01/2022
3990,United Kingdom,158,1,,24/01/2022
3991,United Kingdom,510073,4183,,24/01/2022
3992,United Kingdom,4,0,,24/01/2022
3993,United Kingdom,1124048,12992,,24/01/2022
3994,United Kingdom,5570,34,,24/01/2022
3995,United Kingdom,0,266,,24/01/2022
3996,United Kingdom,761054,9571,,24/01/2022
4008,United Kingdom,28109,96,0,24/01/2022
4009,United Kingdom,10718,30,0,24/01/2022
4015,United Kingdom,0,0,0,24/01/2022
3954,United Kingdom,15,0,15,24/01/2021
3955,United Kingdom,686,12,625,24/01/2021
3956,United Kingdom,114,1,95,24/01/2021
3957,United Kingdom,383,2,346,24/01/2021
3958,United Kingdom,0,0,3186,24/01/2021
3959,United Kingdom,3187232,106020,0,24/01/2021
3960,United Kingdom,35,0,29,24/01/2021
3961,United Kingdom,3966,63,3276,24/01/2021
3962,United Kingdom,432,25,364,24/01/2021
3963,United Kingdom,13,1,12,24/01/2021
3964,United Kingdom,100319,2427,0,24/01/2021
3965,United Kingdom,4,0,4,24/01/2021
3966,United Kingdom,172201,8239,0,24/01/2021
3967,United Kingdom,1287,7,998,24/01/2021
3968,United Kingdom,0,135,0,24/01/2021
3969,United Kingdom,187711,6688,0,24/01/2021
4006,United Kingdom,3113,63,0,24/01/2021
4007,United Kingdom,314,16,0,24/01/2021
4013,United Kingdom,0,0,0,24/01/2021
3987,United Kingdom,3904,12,,23/01/2023
3988,United Kingdom,18751,157,,23/01/2023
3989,United Kingdom,7305,64,,23/01/2023
3990,United Kingdom,31472,37,,23/01/2023
3991,United Kingdom,0,0,,23/01/2023
3992,United Kingdom,20503511,185112,,23/01/2023
3993,United Kingdom,1930,0,,23/01/2023
3994,United Kingdom,20392,111,,23/01/2023
3995,United Kingdom,34672,66,,23/01/2023
3996,United Kingdom,38008,116,,23/01/2023
3997,United Kingdom,66259,155,,23/01/2023
3998,United Kingdom,1403,8,,23/01/2023
3999,United Kingdom,713294,5126,,23/01/2023
4000,United Kingdom,4,0,,23/01/2023
4001,United Kingdom,2166,0,,23/01/2023
4002,United Kingdom,2147103,16716,,23/01/2023
4003,United Kingdom,6522,38,,23/01/2023
4004,United Kingdom,0,336,,23/01/2023
4005,United Kingdom,895328,11455,,23/01/2023
3981,United Kingdom,2187,7,,23/01/2022
3982,United Kingdom,9766,112,,23/01/2022
3983,United Kingdom,5602,47,,23/01/2022
3984,United Kingdom,13734,15,,23/01/2022
3985,United Kingdom,0,0,,23/01/2022
3986,United Kingdom,13482354,155504,,23/01/2022
3987,United Kingdom,86,0,,23/01/2022
3988,United Kingdom,11835,100,,23/01/2022
3989,United Kingdom,20425,70,,23/01/2022
3990,United Kingdom,155,1,,23/01/2022
3991,United Kingdom,506141,4178,,23/01/2022
3992,United Kingdom,4,0,,23/01/2022
3993,United Kingdom,1114066,12978,,23/01/2022
3994,United Kingdom,5524,34,,23/01/2022
3995,United Kingdom,0,266,,23/01/2022
3996,United Kingdom,756727,9565,,23/01/2022
4008,United Kingdom,27899,96,0,23/01/2022
4009,United Kingdom,10689,30,0,23/01/2022
4015,United Kingdom,0,0,0,23/01/2022
3954,United Kingdom,15,0,15,23/01/2021
3955,United Kingdom,686,12,625,23/01/2021
3956,United Kingdom,114,1,95,23/01/2021
3957,United Kingdom,383,2,346,23/01/2021
3958,United Kingdom,0,0,3186,23/01/2021
3959,United Kingdom,3159652,104934,0,23/01/2021
3960,United Kingdom,35,0,29,23/01/2021
3961,United Kingdom,3935,62,3194,23/01/2021
3962,United Kingdom,432,25,364,23/01/2021
3963,United Kingdom,13,1,12,23/01/2021
3964,United Kingdom,99886,2410,0,23/01/2021
3965,United Kingdom,4,0,4,23/01/2021
3966,United Kingdom,171006,8165,0,23/01/2021
3967,United Kingdom,1244,7,960,23/01/2021
3968,United Kingdom,0,135,0,23/01/2021
3969,United Kingdom,186915,6626,0,23/01/2021
4006,United Kingdom,3096,62,0,23/01/2021
4007,United Kingdom,310,16,0,23/01/2021
4013,United Kingdom,0,0,0,23/01/2021
3987,United Kingdom,3904,12,,22/01/2023
3988,United Kingdom,18751,157,,22/01/2023
3989,United Kingdom,7305,64,,22/01/2023
3990,United Kingdom,31472,37,,22/01/2023
3991,United Kingdom,0,0,,22/01/2023
3992,United Kingdom,20503511,185053,,22/01/2023
3993,United Kingdom,1930,0,,22/01/2023
3994,United Kingdom,20392,111,,22/01/2023
3995,United Kingdom,34672,66,,22/01/2023
3996,United Kingdom,38008,116,,22/01/2023
3997,United Kingdom,66259,155,,22/01/2023
3998,United Kingdom,1403,8,,22/01/2023
3999,United Kingdom,713294,5121,,22/01/2023
4000,United Kingdom,4,0,,22/01/2023
4001,United Kingdom,2166,0,,22/01/2023
4002,United Kingdom,2147103,16709,,22/01/2023
4003,United Kingdom,6522,38,,22/01/2023
4004,United Kingdom,0,335,,22/01/2023
4005,United Kingdom,895328,11450,,22/01/2023
3981,United Kingdom,2187,7,,22/01/2022
3982,United Kingdom,9766,112,,22/01/2022
3983,United Kingdom,5602,47,,22/01/2022
3984,United Kingdom,13734,15,,22/01/2022
3985,United Kingdom,0,0,,22/01/2022
3986,United Kingdom,13413441,155323,,22/01/2022
3987,United Kingdom,86,0,,22/01/2022
3988,United Kingdom,11702,100,,22/01/2022
3989,United Kingdom,20425,70,,22/01/2022
3990,United Kingdom,155,1,,22/01/2022
3991,United Kingdom,503082,4171,,22/01/2022
3992,United Kingdom,4,0,,22/01/2022
3993,United Kingdom,1114066,12956,,22/01/2022
3994,United Kingdom,5524,33,,22/01/2022
3995,United Kingdom,0,266,,22/01/2022
3996,United Kingdom,753899,9557,,22/01/2022
4008,United Kingdom,27622,94,0,22/01/2022
4009,United Kingdom,10638,30,0,22/01/2022
4015,United Kingdom,0,0,0,22/01/2022
3954,United Kingdom,15,0,15,22/01/2021
3955,United Kingdom,684,12,625,22/01/2021
3956,United Kingdom,114,1,95,22/01/2021
3957,United Kingdom,382,2,346,22/01/2021
3958,United Kingdom,0,0,3148,22/01/2021
3959,United Kingdom,3129156,103786,0,22/01/2021
3960,United Kingdom,35,0,29,22/01/2021
3961,United Kingdom,3905,59,3097,22/01/2021
3962,United Kingdom,432,25,357,22/01/2021
3963,United Kingdom,13,1,12,22/01/2021
3964,United Kingdom,99216,2385,0,22/01/2021
3965,United Kingdom,4,0,4,22/01/2021
3966,United Kingdom,169699,8108,0,22/01/2021
3967,United Kingdom,1193,7,954,22/01/2021
3968,United Kingdom,0,134,0,22/01/2021
3969,United Kingdom,185836,6569,0,22/01/2021
4006,United Kingdom,3090,62,0,22/01/2021
4007,United Kingdom,310,16,0,22/01/2021
4013,United Kingdom,0,0,0,22/01/2021
3987,United Kingdom,3904,12,,21/01/2023
3988,United Kingdom,18751,157,,21/01/2023
3989,United Kingdom,7305,64,,21/01/2023
3990,United Kingdom,31472,37,,21/01/2023
3991,United Kingdom,0,0,,21/01/2023
3992,United Kingdom,20503511,184990,,21/01/2023
3993,United Kingdom,1930,0,,21/01/2023
3994,United Kingdom,20392,111,,21/01/2023
3995,United Kingdom,34672,66,,21/01/2023
3996,United Kingdom,38008,116,,21/01/2023
3997,United Kingdom,66259,155,,21/01/2023
3998,United Kingdom,1403,8,,21/01/2023
3999,United Kingdom,713294,5121,,21/01/2023
4000,United Kingdom,4,0,,21/01/2023
4001,United Kingdom,2166,0,,21/01/2023
4002,United Kingdom,2147103,16703,,21/01/2023
4003,United Kingdom,6522,38,,21/01/2023
4004,United Kingdom,0,335,,21/01/2023
4005,United Kingdom,895328,11448,,21/01/2023
3981,United Kingdom,2187,7,,21/01/2022
3982,United Kingdom,9766,112,,21/01/2022
3983,United Kingdom,5602,47,,21/01/2022
3984,United Kingdom,12023,15,,21/01/2022
3985,United Kingdom,0,0,,21/01/2022
3986,United Kingdom,13341488,155129,,21/01/2022
3987,United Kingdom,86,0,,21/01/2022
